job_number,subject_of_procurement,procuring_entity,entity_code,attr_of_procurement,procurement_type,tender_awarding_type,tenderer_name,total_tender_awarding_value,amount_range,tender_awarding_date,start_end_date
4800300014,鐵塔EB鐵塔塔身15M等乙批重鍍鋅(含購螺栓),台灣電力股份有限公司,3.13.31,<財物類>462電力傳輸、控制設備及其零件,選擇性招標(建立合格廠商名單後續邀標),最低標,台灣鐵塔股份有限公司,398562,未達公告金額,4/2/2014 0:00:00,103/04/02－103/08/31
3600300018,電磁閥SolenoidValveEF8342G00315PC【廠牌：ASCO】,台灣電力股份有限公司協和發電廠,3.13.31.41,<財物類>469其他電力設備及零件,限制性招標(經公開評選或公開徵求),最低標,巨路國際股份有限公司,134250,未達公告金額,4/1/2014 0:00:00,103/04/01－103/06/29
80300018,路燈開關壹批,台灣電力股份有限公司,3.13.31,<財物類>462電力傳輸、控制設備及其零件,選擇性招標(建立合格廠商名單後續邀標),最低標,傑克電機股份有限公司,36750000,公告金額以上未達查核金額,3/25/2014 0:00:00,103/03/25－103/08/24
4800300023,69KV鐵塔PEAMJ14M鐵柱混凝土基礎2UNT,台灣電力股份有限公司,3.13.31,<財物類>462電力傳輸、控制設備及其零件,選擇性招標(建立合格廠商名單後續邀標),最低標,力鋼工業股份有限公司,305027,未達公告金額,4/22/2014 0:00:00,103/04/22－103/05/17
4900300028,鐵塔構件乙批,台灣電力股份有限公司,3.13.31,<財物類>462電力傳輸、控制設備及其零件,選擇性招標(建立合格廠商名單後續邀標),最低標,台灣鐵塔股份有限公司,157703,未達公告金額,4/18/2014 0:00:00,103/04/18－103/05/15
80300023,PVC鋁紮線、600VPVC鋁風雨線,台灣電力股份有限公司,3.13.31,"<財物類>463絕緣電線,電纜及光纖電纜",選擇性招標(建立合格廠商名單後續邀標),最低標,合機電線電纜股份有限公司,76478100,查核金額以上未達巨額,3/27/2014 0:00:00,103/03/27－105/03/26
80300023,PVC鋁紮線、600VPVC鋁風雨線,台灣電力股份有限公司,3.13.31,"<財物類>463絕緣電線,電纜及光纖電纜",選擇性招標(建立合格廠商名單後續邀標),最低標,華榮電線電纜股份有限公司,76478100,查核金額以上未達巨額,3/27/2014 0:00:00,103/03/27－105/03/26
80300023,PVC鋁紮線、600VPVC鋁風雨線,台灣電力股份有限公司,3.13.31,"<財物類>463絕緣電線,電纜及光纖電纜",選擇性招標(建立合格廠商名單後續邀標),最低標,大亞電線電纜股份有限公司,76478100,查核金額以上未達巨額,3/27/2014 0:00:00,103/03/27－105/03/26
80300023,PVC鋁紮線、600VPVC鋁風雨線,台灣電力股份有限公司,3.13.31,"<財物類>463絕緣電線,電纜及光纖電纜",選擇性招標(建立合格廠商名單後續邀標),最低標,中華電線電纜股份有限公司,76478100,查核金額以上未達巨額,3/27/2014 0:00:00,103/03/27－105/03/26
3700300024,振動監視配件等三項,台灣電力股份有限公司通霄發電廠,3.13.31.44,<財物類>462電力傳輸、控制設備及其零件,公開招標,最低標,巨路國際股份有限公司,1192000,公告金額以上未達查核金額,3/27/2014 0:00:00,103/03/27－103/05/11
1040300002,103年人手孔加固及升降工作(新維E1),台灣電力股份有限公司新竹區營業處,3.13.31.8,<勞務類>97其他服務,公開招標,最低標,立電股份有限公司,16950000,查核金額以上未達巨額,3/4/2014 0:00:00,103/03/04－104/03/03
3520300013,核三廠二號機管路及加熱器壁厚檢測工作,台灣電力股份有限公司第三核能發電廠,3.13.31.83,<勞務類>886附帶於金屬產品、機械及設備維修之服務,公開招標,最低標,裕旺工程有限公司,14400000,查核金額以上未達巨額,2/5/2014 0:00:00,103/02/06－103/04/22
4850300017,Da2鐵塔12M塔身工式防墜裝置1座,台灣電力股份有限公司,3.13.31,<財物類>469其他電力設備及零件,選擇性招標(建立合格廠商名單後續邀標),最低標,力鋼工業股份有限公司,106504,未達公告金額,4/22/2014 0:00:00,103/04/22－103/04/30
270300002,LUNGMENNUCLEARPOWERPLANTTSUNAMIPROTECTIONWALLPLANNING,TAIWANPOWERCOMPANY,3.13.31,<勞務類>8672工程服務,限制性招標(經公開評選或公開徵求),準用最有利標,中興工程顧問股份有限公司,32820000,巨額,3/31/2014 0:00:00,103/04/01－106/01/31
tpc-00905-2011S-103012,進口煤海上運輸印尼地區計3航次,台灣電力股份有限公司,3.13.31,<勞務類>72水上運輸服務,選擇性招標(建立合格廠商名單後續邀標),最低標,TRANSBEST LIMITED（黃海）,50331142,巨額,4/1/2014 0:00:00,103/04/01－103/06/30
tpc-00905-2011S-103012,進口煤海上運輸印尼地區計3航次,台灣電力股份有限公司,3.13.31,<勞務類>72水上運輸服務,選擇性招標(建立合格廠商名單後續邀標),最低標,BIT MARITIME LIMITED ( 海瀧 ),50331142,巨額,4/1/2014 0:00:00,103/04/01－103/06/23
1160370005,南港富康街電纜地下化管路與溝蓋共構工程,台灣電力股份有限公司台北北區營業處,3.13.31.3,<工程類>5164電力工程,公開取得報價單或企劃書,最低標,玖泰工程股份有限公司,302560,未達公告金額,4/11/2014 0:00:00,103/04/21－103/07/20
4750300020,69KV梅湖~平鎮#61~#78鐵柱基礎新購乙批,台灣電力股份有限公司,3.13.31,<財物類>462電力傳輸、控制設備及其零件,選擇性招標(建立合格廠商名單後續邀標),最低標,台灣鐵塔股份有限公司,1546567,公告金額以上未達查核金額,4/15/2014 0:00:00,103/04/16－103/06/14
1020370002,台_市區營業處103_丁工區配電管_及配電_星外線工程,台灣電力股份有限公司台北市區營業處,3.13.31.2,<工程類>5164電力工程,公開招標,最低標,統鑫開發實業股份有限公司,94400000,查核金額以上未達巨額,4/17/2014 0:00:00,103/04/24－104/04/23
1130370001,宜蘭區營業處103年甲工區配電外線工程,台灣電力股份有限公司宜蘭區營業處,3.13.31.27,<工程類>5164電力工程,公開招標,最低標,北大瑩工程有限公司,76000000,查核金額以上未達巨額,3/11/2014 0:00:00,103/03/11－104/03/10
6530300006,161kV三相電力變壓器1批,台灣電力股份有限公司,3.13.31,<財物類>462電力傳輸、控制設備及其零件,選擇性招標(建立合格廠商名單後續邀標),最低標,大同股份有限公司,8682000,公告金額以上未達查核金額,4/2/2014 0:00:00,103/04/02－104/02/28
4700300027,鐵塔構件等乙批,台灣電力股份有限公司,3.13.31,<財物類>462電力傳輸、控制設備及其零件,選擇性招標(建立合格廠商名單後續邀標),最低標,台灣鐵塔股份有限公司,176378,未達公告金額,4/17/2014 0:00:00,103/04/17－103/05/07
3520300082,伺服閥等乙批共3項(指定廠牌:PARKER),台灣電力股份有限公司第三核能發電廠,3.13.31.83,<財物類>449其他特殊用途之機具及其零件,限制性招標(經公開評選或公開徵求),最低標,台灣英維思股份有限公司,850000,公告金額以上未達查核金額,4/30/2014 0:00:00,103/05/01－103/07/29
3520300082,伺服閥等乙批共3項(指定廠牌:PARKER),台灣電力股份有限公司第三核能發電廠,3.13.31.83,<財物類>449其他特殊用途之機具及其零件,限制性招標(經公開評選或公開徵求),最低標,台灣英維思股份有限公司,850000,公告金額以上未達查核金額,4/30/2014 0:00:00,103/05/01－103/07/29
1190370003,鳳山區營業處103年乙工區配電外線工程,台灣電力股份有限公司鳳山區營業處,3.13.31.23,<工程類>5164電力工程,公開招標,最低標,裕騰電器工程有限公司,129293336,查核金額以上未達巨額,3/18/2014 0:00:00,103/03/20－103/11/30
4700374006,八堵P/S鐵構主柱、橫樑汰換及增設防墜裝置工程,台灣電力股份有限公司台北供電區營運處,3.13.31.90,<工程類>5164電力工程,公開招標,最低標,台灣鐵塔股份有限公司,25601200,公告金額以上未達查核金額,4/2/2014 0:00:00,103/04/02－103/11/30
4800300010,鐵塔PE21M鐵柱混凝土基礎等乙批,台灣電力股份有限公司,3.13.31,<財物類>462電力傳輸、控制設備及其零件,選擇性招標(建立合格廠商名單後續邀標),最低標,台灣鐵塔股份有限公司,498650,未達公告金額,3/11/2014 0:00:00,103/03/11－103/04/10
3510300002,STEAMBYPASS&amp;PRESSURERegulator(SB&PR;)SystemDigitalizeUpgrade1SET,SecondNuclearPowerPlantTaiwanPowerCompany,3.13.31.82,<財物類>462電力傳輸、控制設備及其零件,公開招標,最低標,台灣英維思股份有限公司,81880000,查核金額以上未達巨額,3/20/2014 0:00:00,103/03/21－105/06/30
3500300095,二號機低壓汽機靜葉片檢查評估及更新指導工作,台灣電力股份有限公司第一核能發電廠,3.13.31.81,<勞務類>886附帶於金屬產品、機械及設備維修之服務,限制性招標(未經公開評選或公開徵求),最低標,台灣艾斯敦股份有限公司,11127350,查核金額以上未達巨額,4/14/2014 0:00:00,103/04/28－103/06/02
1100178004-1,變更設計101年乙工區配電外線工程,台灣電力股份有限公司屏東區營業處,3.13.31.24,<工程類>5164電力工程,限制性招標(未經公開評選或公開徵求),最低標,精興電氣工程企業有限公司,19673436,公告金額以上未達查核金額,2/18/2014 0:00:00,101/06/06－102/10/05
1080175509-1,台南區營業處101年配電管路潛挖、橋樑附掛及管中管工程第一次契約變更,台灣電力股份有限公司台南區營業處,3.13.31.17,<工程類>5164電力工程,限制性招標(未經公開評選或公開徵求),最低標,麗陽水電工程有限公司,991863,未達公告金額,3/4/2014 0:00:00,103/03/04－103/04/04
6550200010-1,彰林~草湖、埔鹽69/69kV等線路10座鐵塔改造案(第一次契約變更),台灣電力股份有限公司,3.13.31,<財物類>462電力傳輸、控制設備及其零件,限制性招標(未經公開評選或公開徵求),最低標,力鋼工業股份有限公司,1188350,公告金額以上未達查核金額,3/13/2014 0:00:00,103/03/13－103/09/01
4900300018,中興製161kV50kAGIS油壓操作機構點檢維護材料乙批,台灣電力股份有限公司高屏供電區營運處,3.13.31.98,<財物類>462電力傳輸、控制設備及其零件,限制性招標(未經公開評選或公開徵求),最低標,中興電工機械股份有限公司,1745000,公告金額以上未達查核金額,3/12/2014 0:00:00,103/03/13－103/05/31
1090370006,高雄區營業處103年丙工區配電管路工程,台灣電力股份有限公司高雄區營業處,3.13.31.18,<工程類>5164電力工程,公開招標,最低標,進昇工程股份有限公司,62270000,查核金額以上未達巨額,2/26/2014 0:00:00,103/02/27－104/11/26
3520200255,核三廠一、二號機氣動控制閥維修工作,台灣電力股份有限公司第三核能發電廠,3.13.31.83,<勞務類>886附帶於金屬產品、機械及設備維修之服務,公開招標,最低標,裕旺工程有限公司,13100000,查核金額以上未達巨額,2/26/2014 0:00:00,103/03/05－105/12/31
4700300013,161KV鐵塔DD等乙批,台灣電力股份有限公司,3.13.31,<財物類>462電力傳輸、控制設備及其零件,選擇性招標(建立合格廠商名單後續邀標),最低標,台灣鐵塔股份有限公司,1151620,公告金額以上未達查核金額,3/3/2014 0:00:00,103/03/03－103/12/31
3800300011,103年度345KV開關設備六年定檢工作,台灣電力股份有限公司大潭發電廠,3.13.31.47,<勞務類>97其他服務,公開招標,最低標,中興電工機械股份有限公司,13500000,查核金額以上未達巨額,3/20/2014 0:00:00,103/03/20－103/12/31
4700300016,69KV及161KV鐵塔DD等乙批,台灣電力股份有限公司,3.13.31,<財物類>462電力傳輸、控制設備及其零件,選擇性招標(建立合格廠商名單後續邀標),最低標,台灣鐵塔股份有限公司,1800000,公告金額以上未達查核金額,3/21/2014 0:00:00,103/03/21－103/05/20
560200020,核能二廠斷然處置兩串注水耐震餘裕評估計畫,台灣電力股份有限公司,3.13.31,<勞務類>85研發服務,限制性招標(未經公開評選或公開徵求),最低標,泰興工程顧問股份有限公司,7283000,公告金額以上未達查核金額,11/25/2013 0:00:00,102/11/26－103/01/24
4700300023,345KV鐵塔DD等乙批,台灣電力股份有限公司,3.13.31,<財物類>462電力傳輸、控制設備及其零件,選擇性招標(建立合格廠商名單後續邀標),最低標,台灣鐵塔股份有限公司,8709601,公告金額以上未達查核金額,4/7/2014 0:00:00,103/04/07－103/05/27
1160370002,103年乙工區配電管路工程,台灣電力股份有限公司台北北區營業處,3.13.31.3,<工程類>5164電力工程,公開招標,最低標,國盛電氣工程有限公司,159000000,查核金額以上未達巨額,4/8/2014 0:00:00,103/04/17－104/04/16
tpc-00905-2011S-103009,進口煤海上運輸印尼地區計5航次,台灣電力股份有限公司,3.13.31,<勞務類>72水上運輸服務,選擇性招標(建立合格廠商名單後續邀標),最低標,BIT MARITIME LIMITED ( 海瀧 ),32448509,巨額,3/7/2014 0:00:00,103/03/07－103/07/24
tpc-00905-2011S-102054,進口煤海上運輸印尼地區計9航次,台灣電力股份有限公司,3.13.31,<勞務類>72水上運輸服務,選擇性招標(建立合格廠商名單後續邀標),最低標,TRANSBEST LIMITED（黃海）,60991887,巨額,11/21/2013 0:00:00,102/11/21－103/06/09
tpc-00905-2011S-102054,進口煤海上運輸印尼地區計9航次,台灣電力股份有限公司,3.13.31,<勞務類>72水上運輸服務,選擇性招標(建立合格廠商名單後續邀標),最低標,BIT MARITIME LIMITED ( 海瀧 ),60991887,巨額,11/21/2013 0:00:00,102/11/21－103/07/01
tpc-00905-2011S-102054,進口煤海上運輸印尼地區計9航次,台灣電力股份有限公司,3.13.31,<勞務類>72水上運輸服務,選擇性招標(建立合格廠商名單後續邀標),最低標,新健海運股份有限公司,60991887,巨額,11/21/2013 0:00:00,102/11/21－103/04/14
100306002,龍門核能發電廠存倉核燃料財物損失保險,台灣電力股份有限公司,3.13.31,<勞務類>812保險(包括再保險)及退休基金服務，不包括強制性社會安全服務,公開招標,最低標,兆豐產物保險股份有限公司,4136516,公告金額以上未達查核金額,3/14/2014 0:00:00,103/04/23－104/04/23
4800300008,161KV鐵塔NB2改造型鐵塔塔身14M等乙批,台灣電力股份有限公司,3.13.31,<財物類>462電力傳輸、控制設備及其零件,選擇性招標(建立合格廠商名單後續邀標),最低標,台灣鐵塔股份有限公司,1599408,公告金額以上未達查核金額,3/3/2014 0:00:00,103/03/03－103/04/22
0140200005-2,台灣電力股份有限公司總管理處高.低壓用電設備維護保養工作,台灣電力股份有限公司,3.13.31,<勞務類>886附帶於金屬產品、機械及設備維修之服務,限制性招標(未經公開評選或公開徵求),最低標,榮福股份有限公司,5377562,公告金額以上未達查核金額,3/19/2014 0:00:00,103/06/07－104/06/06
80300021,25KV單芯尼龍被覆交連PE電纜,台灣電力股份有限公司,3.13.31,"<財物類>463絕緣電線,電纜及光纖電纜",選擇性招標(建立合格廠商名單後續邀標),最低標,華新麗華股份有限公司,93017200,查核金額以上未達巨額,4/14/2014 0:00:00,103/04/14－103/10/11
80300021,25KV單芯尼龍被覆交連PE電纜,台灣電力股份有限公司,3.13.31,"<財物類>463絕緣電線,電纜及光纖電纜",選擇性招標(建立合格廠商名單後續邀標),最低標,億泰電線電纜股份有限公司,93017200,查核金額以上未達巨額,4/14/2014 0:00:00,103/04/14－103/10/11
3500300041,超音波液位傳送器TRANSMITTER,台灣電力股份有限公司第一核能發電廠,3.13.31.81,<財物類>469其他電力設備及零件,限制性招標(經公開評選或公開徵求),最低標,巨路國際股份有限公司,144000,未達公告金額,3/7/2014 0:00:00,103/03/08－103/06/05
4950300005,採購初英分歧線#1-#6鐵塔防墜裝置等材料一批,台灣電力股份有限公司,3.13.31,<財物類>462電力傳輸、控制設備及其零件,選擇性招標(建立合格廠商名單後續邀標),最低標,力鋼工業股份有限公司,426000,未達公告金額,3/12/2014 0:00:00,103/03/13－103/04/11
3520320003,核三廠核燃料束E206/E215檢查服務,台灣電力股份有限公司第三核能發電廠,3.13.31.83,<勞務類>8676技術檢定與分析服務,限制性招標(未經公開評選或公開徵求),最低標,"Westinghouse Industry Products Intemational Co. LLC (WIPIC,LLC)",329400,未達公告金額,4/14/2014 0:00:00,103/04/23－103/04/28
80320015,議購NAMCO極限開關備品乙批,台灣電力股份有限公司,3.13.31,<財物類>469其他電力設備及零件,限制性招標(未經公開評選或公開徵求),最低標,巨路國際股份有限公司,5465460,公告金額以上未達查核金額,4/11/2014 0:00:00,103/04/11－103/08/09
1150370006,103年配電室設備裝置、配電場鐵絲網圍籬及配電台構架裝拆工程,台灣電力股份有限公司台北南區營業處,3.13.31.4,<工程類>5164電力工程,公開招標,最低標,立電股份有限公司,9350000,公告金額以上未達查核金額,4/3/2014 0:00:00,103/04/18－104/04/17
560200013,核能電廠水災危害再評估計畫,台灣電力股份有限公司,3.13.31,<勞務類>873調查及保安服務,限制性招標(經公開評選或公開徵求),準用最有利標,中興工程顧問股份有限公司,18650000,查核金額以上未達巨額,10/3/2013 0:00:00,102/10/04－103/05/31
3560300016,1號機反應器廠房圍阻體混凝土營運前檢測工作(龍門改字第020號),台灣電力股份有限公司龍門核能發電廠,3.13.31.87,<勞務類>8676技術檢定與分析服務,公開招標,最低標,益鼎工程股份有限公司,2330000,公告金額以上未達查核金額,4/25/2014 0:00:00,103/07/01－104/06/27
3560300016,1號機反應器廠房圍阻體混凝土營運前檢測工作(龍門改字第020號),台灣電力股份有限公司龍門核能發電廠,3.13.31.87,<勞務類>8676技術檢定與分析服務,公開招標,最低標,益鼎工程股份有限公司,2330000,公告金額以上未達查核金額,4/25/2014 0:00:00,103/07/01－104/06/27
80320016,議購印刷電路板PCBoard乙批,台灣電力股份有限公司,3.13.31,<財物類>469其他電力設備及零件,限制性招標(未經公開評選或公開徵求),最低標,台灣艾斯敦股份有限公司,9765800,公告金額以上未達查核金額,3/21/2014 0:00:00,103/03/21－104/01/15
1050370008,台中區營業處103年乙工區配電管路工程,台灣電力股份有限公司台中區營業處,3.13.31.10,<工程類>5164電力工程,公開招標,最低標,全揚工程行,86000000,查核金額以上未達巨額,4/14/2014 0:00:00,103/04/14－104/04/14
1060300008,103年配電線路設備維護暨事故搶修工作,台灣電力股份有限公司彰化區營業處,3.13.31.13,<勞務類>99境外團體、組織提供的服務,公開招標,最低標,峰連工程股份有限公司,10827961,查核金額以上未達巨額,4/29/2014 0:00:00,103/05/02－103/12/31
1060300008,103年配電線路設備維護暨事故搶修工作,台灣電力股份有限公司彰化區營業處,3.13.31.13,<勞務類>99境外團體、組織提供的服務,公開招標,最低標,峰連工程股份有限公司,10827961,查核金額以上未達巨額,4/29/2014 0:00:00,103/05/02－103/12/31
T0630302001,羅斯福路二段臨時停車場土地合建案,台灣電力股份有限公司,3.13.31,<工程類>5121單雙棟式住宅建築工程,限制性招標(未經公開評選或公開徵求),最高標,禾碩開發股份有限公司,1205404542,巨額,4/1/2014 0:00:00,103/04/01－106/04/30
1010100004-1,102年度北一區抄表工作委外服務案CCO,台灣電力股份有限公司基隆區營業處,3.13.31.1,<勞務類>879其他商業服務,限制性招標(未經公開評選或公開徵求),最低標,磐_有限公司,2014315,公告金額以上未達查核金額,11/9/2012 0:00:00,101/12/20－102/12/19
008-002104A-N-Y008010409,議購西門子公司備品及服務供應協議選購類器材乙批,台灣電力股份有限公司,3.13.31,<財物類>469其他電力設備及零件,限制性招標(未經公開評選或公開徵求),最低標,SIEMENS AG.,48118852,公告金額以上未達查核金額,4/30/2014 0:00:00,103/04/30－103/12/04
008-002104A-N-Y008010409,議購西門子公司備品及服務供應協議選購類器材乙批,台灣電力股份有限公司,3.13.31,<財物類>469其他電力設備及零件,限制性招標(未經公開評選或公開徵求),最低標,SIEMENS AG.,48118852,公告金額以上未達查核金額,4/30/2014 0:00:00,103/04/30－103/12/04
80300016,69kV及161kV交連PE電纜及附屬器材(購置暨安裝),台灣電力股份有限公司,3.13.31,"<財物類>463絕緣電線,電纜及光纖電纜",選擇性招標(建立合格廠商名單後續邀標),最低標,中華電線電纜股份有限公司,154170000,巨額,4/3/2014 0:00:00,103/04/03－104/12/31
80300016,69kV及161kV交連PE電纜及附屬器材(購置暨安裝),台灣電力股份有限公司,3.13.31,"<財物類>463絕緣電線,電纜及光纖電纜",選擇性招標(建立合格廠商名單後續邀標),最低標,大東電業廠股份有限公司,154170000,巨額,4/3/2014 0:00:00,103/04/03－104/12/31
80320012,議購複循環機組主/旁通蒸氣閥配件乙批(HP&amp;LPCV/ESVSpareParts),台灣電力股份有限公司,3.13.31,"<財物類>432幫浦,壓縮機,液壓與氣動引擎,閥門及其零件",限制性招標(未經公開評選或公開徵求),最低標,SIEMENS AG.,2400687,公告金額以上未達查核金額,3/24/2014 0:00:00,103/03/24－103/10/08
4700300024,鐵塔構件乙批,台灣電力股份有限公司,3.13.31,<財物類>462電力傳輸、控制設備及其零件,選擇性招標(建立合格廠商名單後續邀標),最低標,台灣鐵塔股份有限公司,822381,未達公告金額,4/14/2014 0:00:00,103/04/14－103/06/03
4900300025,69KV鐵塔PERS17.2M鐵柱混凝土基礎乙座,台灣電力股份有限公司,3.13.31,<財物類>462電力傳輸、控制設備及其零件,選擇性招標(建立合格廠商名單後續邀標),最低標,力鋼工業股份有限公司,155000,未達公告金額,4/7/2014 0:00:00,103/04/07－103/04/30
4900300029,345KV鐵塔E5鐵塔塔腳鍍鋅加工乙批,台灣電力股份有限公司,3.13.31,<財物類>462電力傳輸、控制設備及其零件,選擇性招標(建立合格廠商名單後續邀標),最低標,力鋼工業股份有限公司,431000,未達公告金額,4/25/2014 0:00:00,103/04/25－103/05/25
3500300114,二號機EOC-26及一號機EOC-27大修爐內檢查技術服務,台灣電力股份有限公司第一核能發電廠,3.13.31.81,<勞務類>886附帶於金屬產品、機械及設備維修之服務,限制性招標(未經公開評選或公開徵求),最低標,美商奇異日立核能有限公司,292711110,巨額,4/30/2014 0:00:00,103/04/30－103/05/23
3500300114,二號機EOC-26及一號機EOC-27大修爐內檢查技術服務,台灣電力股份有限公司第一核能發電廠,3.13.31.81,<勞務類>886附帶於金屬產品、機械及設備維修之服務,限制性招標(未經公開評選或公開徵求),最低標,美商奇異日立核能有限公司,292711110,巨額,4/30/2014 0:00:00,103/04/30－103/05/23
4800373006,69kV和美~伸港線#15、#22鐵塔全包建更換工程,台灣電力股份有限公司台中供電區營運處,3.13.31.94,<工程類>5164電力工程,公開招標,最低標,台灣鐵塔股份有限公司,8460000,公告金額以上未達查核金額,4/11/2014 0:00:00,103/04/11－104/03/31
NED-LM9-H-S0002-R0-A4,龍門計畫第一、二號機電廠配合系統(BOP)ASME及安全相關設計作業替代方案第4次契約變更,台灣電力股份有限公司,3.13.31,<勞務類>8672工程服務,限制性招標(未經公開評選或公開徵求),最低標,益鼎工程股份有限公司,82846970,巨額,4/3/2014 0:00:00,103/04/04－103/05/30
008-002001S-014-P,議購三菱公司六年統購長期契約協議類項目乙批,台灣電力股份有限公司,3.13.31,<財物類>469其他電力設備及零件,限制性招標(未經公開評選或公開徵求),最低標,Mitsubishi Corporation,3008418,公告金額以上未達查核金額,3/4/2014 0:00:00,103/03/04－104/01/31
4750300015,69KV松樹~平鎮線#47工程用鐵柱構件乙批,台灣電力股份有限公司,3.13.31,<財物類>462電力傳輸、控制設備及其零件,選擇性招標(建立合格廠商名單後續邀標),最低標,台灣鐵塔股份有限公司,545286,未達公告金額,3/4/2014 0:00:00,103/03/05－103/04/03
tpc-00905-2011S-103015,進口煤海上運輸印尼及澳洲地區計4航次,台灣電力股份有限公司,3.13.31,<勞務類>72水上運輸服務,選擇性招標(建立合格廠商名單後續邀標),最低標,TRANSBEST LIMITED（黃海）,113726836,巨額,4/22/2014 0:00:00,103/04/22－103/07/10
tpc-00905-2011S-103015,進口煤海上運輸印尼及澳洲地區計4航次,台灣電力股份有限公司,3.13.31,<勞務類>72水上運輸服務,選擇性招標(建立合格廠商名單後續邀標),最低標,BIT MARITIME LIMITED ( 海瀧 ),113726836,巨額,4/22/2014 0:00:00,103/04/22－103/08/04
4750300019,69KV松樹~東周及苗栗~南苗等線鐵柱及基礎重鍍鋅材料乙批,台灣電力股份有限公司,3.13.31,<財物類>462電力傳輸、控制設備及其零件,選擇性招標(建立合格廠商名單後續邀標),最低標,力鋼工業股份有限公司,2510000,公告金額以上未達查核金額,4/1/2014 0:00:00,103/04/02－103/05/31
1200370001,雲林區營業處103年甲工區配電外線工程,台灣電力股份有限公司雲林區營業處,3.13.31.14,<工程類>5164電力工程,公開招標,最低標,金科電業工程有限公司,109000000,查核金額以上未達巨額,4/17/2014 0:00:00,103/04/18－103/12/31
1080375501,台南區營業處103_甲工區配電外線工程,台灣電力股份有限公司台南區營業處,3.13.31.17,<工程類>5164電力工程,公開招標,最低標,一新電器工程有限公司,119988568,查核金額以上未達巨額,2/19/2014 0:00:00,103/03/10－104/07/10
008-002104A-N-Y008010410,議購西門子公司備品及服務供應協議選購類器材乙批,台灣電力股份有限公司,3.13.31,<財物類>469其他電力設備及零件,限制性招標(未經公開評選或公開徵求),最低標,SIEMENS AG.,5113339,公告金額以上未達查核金額,4/21/2014 0:00:00,103/04/21－106/04/30
80300013,亭置式開關壹批,台灣電力股份有限公司,3.13.31,<財物類>462電力傳輸、控制設備及其零件,選擇性招標(建立合格廠商名單後續邀標),最低標,亞力電機股份有限公司,190728800,巨額,3/31/2014 0:00:00,103/03/31－104/03/30
80300013,亭置式開關壹批,台灣電力股份有限公司,3.13.31,<財物類>462電力傳輸、控制設備及其零件,選擇性招標(建立合格廠商名單後續邀標),最低標,三宏電工廠股份有限公司,190728800,巨額,3/31/2014 0:00:00,103/03/31－104/03/30
4700373002,161KV樹德-興珍線#3等6座鐵塔更換工程,台灣電力股份有限公司台北供電區營運處,3.13.31.90,<工程類>5164電力工程,公開招標,最低標,台灣鐵塔股份有限公司,12840938,公告金額以上未達查核金額,2/26/2014 0:00:00,103/02/26－104/03/26
3510300047,"600VPE控制電纜8,500M",台灣電力股份有限公司第二核能發電廠,3.13.31.82,"<財物類>463絕緣電線,電纜及光纖電纜",公開取得報價單或企劃書,最低標,華榮電線電纜股份有限公司,524450,未達公告金額,4/1/2014 0:00:00,103/04/02－104/05/31
tpc-00905-2011S-103011,進口煤海上運輸印尼地區計5航次,台灣電力股份有限公司,3.13.31,<勞務類>72水上運輸服務,選擇性招標(建立合格廠商名單後續邀標),最低標,BIT MARITIME LIMITED ( 海瀧 ),34518528,巨額,3/24/2014 0:00:00,103/03/24－103/06/23
1060300002,103年甲工區變壓器吊檢工作,台灣電力股份有限公司彰化區營業處,3.13.31.13,<勞務類>522土木工程施工服務,公開招標,最低標,峰連工程股份有限公司,7872368,公告金額以上未達查核金額,3/25/2014 0:00:00,103/04/09－103/12/31
3400300002,大林六號機BFPT控制系統請購,台灣電力股份有限公司大林發電廠,3.13.31.48,<財物類>462電力傳輸、控制設備及其零件,公開招標,最低標,台灣英維思股份有限公司,2500000,公告金額以上未達查核金額,3/19/2014 0:00:00,103/03/20－103/08/26
4700300018,臥龍D/S空氣袋及油流指示器,台灣電力股份有限公司台北供電區營運處,3.13.31.90,<財物類>462電力傳輸、控制設備及其零件,限制性招標(經公開評選或公開徵求),最低標,大同股份有限公司,364000,未達公告金額,3/27/2014 0:00:00,103/03/27－103/06/30
3510300057-1,AGASTAT電驛耐震測試工作(第一次契約變更),台灣電力股份有限公司第二核能發電廠,3.13.31.82,<勞務類>8673綜合工程服務,限制性招標(未經公開評選或公開徵求),最低標,行政院原子能委員會核能研究所,900000,公告金額以上未達查核金額,4/29/2014 0:00:00,103/04/30－103/07/31
94-009-013,增做「熱測試作業前強化自主管理演訓作業」、增做「2項保安強化措施」,台灣電力股份有限公司核能後端營運處,3.13.31.84,<勞務類>865管理顧問服務,限制性招標(未經公開評選或公開徵求),最低標,行政院原子能委員會核能研究所,28624033,巨額,4/2/2014 0:00:00,103/04/03－103/12/31
1200370005,雲林區營業處103年配電零星管路潛挖、橋樑附掛、圍籬、管中管工程,台灣電力股份有限公司雲林區營業處,3.13.31.14,<工程類>5164電力工程,公開招標,最低標,麗陽水電工程有限公司,7560000,公告金額以上未達查核金額,4/24/2014 0:00:00,103/04/24－103/08/24
3510300065,工作站1PC,台灣電力股份有限公司第二核能發電廠,3.13.31.82,<財物類>462電力傳輸、控制設備及其零件,限制性招標(經公開評選或公開徵求),最低標,台灣英維思股份有限公司,268000,未達公告金額,4/15/2014 0:00:00,103/04/16－103/05/15
